2023-08-07 10:50:35.829 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:50:35.829 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-07 10:50:35.912 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:50:35.918 | INFO     | __main__:wrapper:42 - Перемещаем фотографии с cd-карты камеры в папку Client
2023-08-07 10:50:36.235 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:50:36.238 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-07 10:50:40.362 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:50:40.362 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-07 10:50:40.362 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:50:40.362 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
2023-08-07 10:50:40.362 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:56:57.110 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-07 10:56:57.160 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:56:57.161 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-07 10:56:57.229 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:56:57.229 | INFO     | __main__:wrapper:42 - Перемещаем фотографии с cd-карты камеры в папку Client
2023-08-07 10:56:57.623 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:56:57.623 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-07 10:57:01.491 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:57:01.491 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-07 10:57:01.492 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:57:01.492 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
2023-08-07 10:57:01.492 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 11:13:10.863 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-07 11:13:10.927 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 11:13:10.928 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-07 11:13:11.046 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 11:13:11.047 | INFO     | __main__:wrapper:42 - Перемещаем фотографии с cd-карты камеры в папку Client
2023-08-07 11:13:11.402 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 11:13:11.402 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-07 11:13:15.565 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 11:13:15.565 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-07 11:13:15.565 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 11:13:15.565 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
2023-08-07 11:13:15.580 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 11:20:31.277 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-07 11:20:31.325 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 11:20:31.326 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-07 11:20:31.418 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 11:20:31.420 | INFO     | __main__:wrapper:42 - Перемещаем фотографии с cd-карты камеры в папку Client
2023-08-07 11:20:32.103 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 11:20:32.103 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-07 11:20:35.743 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 11:20:35.744 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-07 11:20:35.745 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 11:20:35.746 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
2023-08-07 11:20:35.748 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 11:48:06.414 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-07 11:48:06.462 | INFO     | __main__:wrapper:44 - 	✓
